┌──(naitro_07㉿kali)-[~]
└─$ cat logs.txt
172.21.211.112 -> 104.22.55.228 | Protocol: TCP
104.22.55.228 -> 172.21.211.112 | Protocol: TCP
172.21.211.112 -> 104.22.55.228 | Protocol: TCP
172.21.211.112 -> 104.22.55.228 | Protocol: TCP
104.22.55.228 -> 172.21.211.112 | Protocol: TCP
104.22.55.228 -> 172.21.211.112 | Protocol: TCP
172.21.211.112 -> 104.22.55.228 | Protocol: TCP
172.21.211.112 -> 104.22.55.228 | Protocol: TCP
104.22.55.228 -> 172.21.211.112 | Protocol: TCP
172.21.211.112 -> 104.22.55.228 | Protocol: TCP
172.21.211.112 -> 172.105.252.87 | Protocol: TCP
172.105.252.87 -> 172.21.211.112 | Protocol: TCP
172.21.211.112 -> 172.105.252.87 | Protocol: TCP
172.21.211.112 -> 172.105.252.87 | Protocol: TCP
172.105.252.87 -> 172.21.211.112 | Protocol: TCP
172.105.252.87 -> 172.21.211.112 | Protocol: TCP
172.21.211.112 -> 172.105.252.87 | Protocol: TCP
172.21.211.112 -> 172.105.252.87 | Protocol: TCP
172.105.252.87 -> 172.21.211.112 | Protocol: TCP
172.21.211.112 -> 172.105.252.87 | Protocol: TCP
